Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C5, C6, C8",0402,5,0.1uF,
C2,0603,1,4.7uF,
"C3, C4",0603,2,1uF,
"C7, C9",0402,2,18pF,
"D1, D2, D3",0603,3,LED,
F1,0603,1,350mA,
IC1,SOT96P240X135-3N,1,AP7333-33SAG-7,
J1,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_16P,
J2,PinHeader_2x04_P2.54mm_Vertical,1,OUTPUT,
J3,PinHeader_1x05_P2.54mm_Vertical,1,frm,
Q1,SOT-23,1,MMBT3904,
"R1, R17, R2, R4, R5, R9",0603,6,10k,
R10,0603,1,39k,
R11,0603,1,100,
"R12, R13",0603,2,4.7k,
"R14, R15, R16",0603,3,1k,
R3,0603,1,100R,
"R6, R7",0603,2,5.1k,
R8,0603,1,1.5k,
U1,LQFP-48_7x7mm_P0.5mm,1,STM32F103CBTx,
Y1,Crystal_HC49-4H_Vertical,1,8mHz,
