Designator,Mid X,Mid Y,Rotation,Layer
C1,23.5,-0.5,90.0,top
C10,14.5,-13.0,180.0,top
C2,26.5,-13.5,180.0,top
C3,8.0,-3.5,180.0,top
C4,8.0,-5.5,180.0,top
C5,26.5,-12.0,180.0,top
C6,26.5,-4.0,0.0,top
C7,39.0,-10.5,0.0,top
C8,16.5,-0.5,90.0,top
C9,39.0,-5.5,0.0,top
D1,8.0,0.5,180.0,top
D2,8.0,-1.5,0.0,top
D3,8.0,-15.5,0.0,top
F1,8.0,-13.5,180.0,top
IC1,12.0,-2.0,0.0,top
J1,1.0,-8.0,270.0,top
J2,45.0,-8.0,0.0,top
J3,22.995,-16.5,90.0,top
Q1,11.9375,-8.0,180.0,top
R1,15.0,-15.5,270.0,top
R10,8.0,-11.5,180.0,top
R11,11.5,-13.0,0.0,top
R12,27.0,-0.5,270.0,top
R13,29.0,-0.5,90.0,top
R14,4.5,0.5,0.0,top
R15,4.5,-1.5,180.0,top
R16,11.0,-15.5,270.0,top
R17,13.0,-15.5,90.0,top
R2,30.0,-11.5,0.0,top
R3,15.0,-0.5,90.0,top
R4,25.0,-0.5,270.0,top
R5,30.0,-13.5,0.0,top
R6,8.0,-7.5,180.0,top
R7,8.0,-9.5,0.0,top
R8,11.5,-11.0,0.0,top
R9,11.5,-5.0,0.0,top
U1,19.5,-8.0,90.0,top
Y1,35.0,-8.0,90.0,top
